id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS0D0252D87,AXL_IL15RA,simple:P30530,simple:Q13261,ENSG00000167601,ENSG00000134470,TRUE,TRUE,TRUE,I2D,FALSE,0.04,,0.251,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0ACD487F0,L1CAM_L1CAM,simple:P32004,simple:P32004,ENSG00000198910,ENSG00000198910,FALSE,FALSE,FALSE,curated,FALSE,0.04,0.133,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0DC4D593E,EPHB6_EFNB1,simple:O15197,simple:P98172,ENSG00000106123,ENSG00000090776,TRUE,TRUE,FALSE,curated,FALSE,0.04,,,,,,,,,,,,,,,,,0.145,,,,,,,,
CPI-SS077B160B9,IL15_IL15RA,simple:P40933,simple:Q13261,ENSG00000164136,ENSG00000134470,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,0.04,,0.213,,,,,,,,,,,,,,,,,,,,,,,
CPI-SC07BE7830D,SPP1_a4b1 complex,simple:P10451,complex:a4b1 complex,ENSG00000118785,,TRUE,FALSE,FALSE,curated,TRUE,0.04,41.618,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03821C2C6,PF4_ACKR1,simple:P02776,simple:Q16570,ENSG00000163737,ENSG00000213088,TRUE,FALSE,TRUE,"I2D,InnateDB",FALSE,0.04,,,0.156,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E928B8C8,FGF7_FGFR2,simple:P21781,simple:P21802,ENSG00000140285,ENSG00000066468,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,0.04,,,,,,,,,,,,,0.228,,,,,,,,,,,,
CPI-SC0E9C058EB,PLAUR_a4b1 complex,simple:Q03405,complex:a4b1 complex,ENSG00000011422,,TRUE,TRUE,FALSE,curated,TRUE,0.04,0.419,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0AB647854,GPR37_PSAP,simple:O15354,simple:P07602,ENSG00000170775,ENSG00000197746,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.04,,,,,,,,,,,15.922,,,,,,,,,,,,,,
CPI-SS0DE0A486F,NRP1_VEGFA,simple:O14786,simple:P15692,ENSG00000099250,ENSG00000112715,TRUE,TRUE,FALSE,curated,FALSE,0.04,,,3.449,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CC898553,FGFR2_PTPRR,simple:P21802,simple:Q15256,ENSG00000066468,ENSG00000153233,TRUE,TRUE,TRUE,InnateDB-All,FALSE,0.04,,,,,,,,,,,,,,,0.216,,,,,,,,,,
