"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hist1h1b",0,2.11206101595536,0.999,0.343,0,"1","Hist1h1b"
"Hist1h2ap",0,2.0602589490311,0.999,0.377,0,"1","Hist1h2ap"
"Hist1h2ae",0,1.96145532345496,0.999,0.27,0,"1","Hist1h2ae"
"Top2a",0,1.85718009847278,1,0.372,0,"1","Top2a"
"Mki67",0,1.84868275700493,1,0.411,0,"1","Mki67"
"Hist1h1e",0,1.50486429863683,1,0.791,0,"1","Hist1h1e"
"Prc1",0,1.42506169107302,0.998,0.208,0,"1","Prc1"
"Cenpf",0,1.42150326098125,0.997,0.294,0,"1","Cenpf"
"Hist2h2ac",0,1.40067971198795,0.988,0.347,0,"1","Hist2h2ac"
"Hist1h2ab",0,1.37218232161996,0.974,0.133,0,"1","Hist1h2ab"
"Hist1h3c",0,1.33450440496986,0.97,0.134,0,"1","Hist1h3c"
"Smc4",0,1.32740310058849,0.999,0.446,0,"1","Smc4"
"H2afx",0,1.29370333897101,0.997,0.423,0,"1","H2afx"
"Smc2",0,1.26034537444859,0.997,0.486,0,"1","Smc2"
"Cenpe",0,1.25859543592491,0.995,0.299,0,"1","Cenpe"
"Nusap1",0,1.23156337652694,0.986,0.176,0,"1","Nusap1"
"Kif15",0,1.21873498797703,0.995,0.271,0,"1","Kif15"
"Hmgb2",0,1.21367471618762,1,0.838,0,"1","Hmgb2"
"Cenpa",0,1.20783353912108,0.986,0.349,0,"1","Cenpa"
"Hmmr",0,1.20627461432165,0.961,0.193,0,"1","Hmmr"
"Ube2c",0,1.20530314079245,0.984,0.35,0,"1","Ube2c"
"Knl1",0,1.20415696182622,0.995,0.266,0,"1","Knl1"
"Kif11",0,1.20065078545886,0.986,0.205,0,"1","Kif11"
"Cdca8",0,1.16210664346274,0.996,0.318,0,"1","Cdca8"
"Pclaf",0,1.15822524220667,0.995,0.365,0,"1","Pclaf"
"Hjurp",0,1.15350703076653,0.999,0.557,0,"1","Hjurp"
"Birc5",0,1.12948621417766,0.996,0.337,0,"1","Birc5"
"Hist1h4d",0,1.12928707923082,0.963,0.271,0,"1","Hist1h4d"
"Hist1h1a",0,1.11033146828226,0.945,0.175,0,"1","Hist1h1a"
"Pbk",0,1.10002020785563,0.975,0.208,0,"1","Pbk"
"Mis18bp1",0,1.09623235075832,0.984,0.221,0,"1","Mis18bp1"
"Cdk1",0,1.09005101432943,0.994,0.467,0,"1","Cdk1"
"Kif20b",0,1.07982833921736,0.975,0.246,0,"1","Kif20b"
"Hist1h1d",0,1.07897960078978,0.97,0.261,0,"1","Hist1h1d"
"Tpx2",0,1.07816826860182,0.99,0.258,0,"1","Tpx2"
"Kif23",0,1.0747610205893,0.975,0.183,0,"1","Kif23"
"Incenp",0,1.06177319728652,0.995,0.479,0,"1","Incenp"
"Esco2",0,1.05448121322603,0.897,0.137,0,"1","Esco2"
"Anln",0,1.01124349848295,0.962,0.176,0,"1","Anln"
"Tmpo",0,1.009818796417,1,0.732,0,"1","Tmpo"
"Neil3",0,0.983206636842015,0.959,0.169,0,"1","Neil3"
"Cdca2",0,0.981769097005542,0.956,0.181,0,"1","Cdca2"
"Racgap1",0,0.977221230712912,0.972,0.272,0,"1","Racgap1"
"Aspm",0,0.961951811716358,0.933,0.179,0,"1","Aspm"
"Cdkn2c",0,0.959041814953333,0.961,0.311,0,"1","Cdkn2c"
"Ncapd2",0,0.934478441552075,0.982,0.309,0,"1","Ncapd2"
"Kif4",0,0.930593704732357,0.947,0.191,0,"1","Kif4"
"Ube2s",0,0.920297921450334,0.997,0.712,0,"1","Ube2s"
"Aurkb",0,0.915037954558303,0.955,0.204,0,"1","Aurkb"
"Cdca3",0,0.914462654932209,0.961,0.277,0,"1","Cdca3"
"Ccna2",0,0.912438920890045,0.957,0.226,0,"1","Ccna2"
"Spc24",0,0.906968700894094,0.973,0.307,0,"1","Spc24"
"Ncapg",0,0.90600662182404,0.937,0.186,0,"1","Ncapg"
"H2afz",0,0.895887539308907,1,0.983,0,"1","H2afz"
"Spc25",0,0.895752519247053,0.931,0.186,0,"1","Spc25"
"Bora",0,0.895334263882411,0.938,0.173,0,"1","Bora"
"Cit",0,0.889620077478553,0.965,0.285,0,"1","Cit"
"Sgo2a",0,0.887493422562873,0.929,0.171,0,"1","Sgo2a"
"Rrm2",0,0.867981907326693,0.815,0.21,0,"1","Rrm2"
"Ndc80",0,0.866974964267962,0.914,0.162,0,"1","Ndc80"
"Stmn1",0,0.862127613103429,1,0.914,0,"1","Stmn1"
"Bub1b",0,0.860980200574542,0.938,0.231,0,"1","Bub1b"
"Cks2",0,0.858423960146683,0.955,0.332,0,"1","Cks2"
"Ckap2l",0,0.857596643310895,0.955,0.21,0,"1","Ckap2l"
"H1f0",0,0.85751842318285,0.942,0.621,0,"1","H1f0"
"Ccnb1",0,0.83144568508103,0.912,0.191,0,"1","Ccnb1"
"Hist1h1c",0,0.828530057632987,0.991,0.608,0,"1","Hist1h1c"
"Diaph3",0,0.820240894023382,0.927,0.276,0,"1","Diaph3"
"Tk1",0,0.816406277459655,0.923,0.289,0,"1","Tk1"
"Kif22",0,0.811013171108065,0.925,0.181,0,"1","Kif22"
"Lmnb1",0,0.807042953579403,0.992,0.562,0,"1","Lmnb1"
"Nuf2",0,0.799093994972408,0.936,0.22,0,"1","Nuf2"
"Fbxo5",0,0.794208375108028,0.938,0.206,0,"1","Fbxo5"
"Shcbp1",0,0.793943660522966,0.921,0.182,0,"1","Shcbp1"
"Rrm1",0,0.779743492183576,0.962,0.469,0,"1","Rrm1"
"Plk1",0,0.779471055415672,0.87,0.141,0,"1","Plk1"
"Bub1",0,0.774474652818934,0.907,0.197,0,"1","Bub1"
"Ckap5",0,0.77095247541373,0.977,0.62,0,"1","Ckap5"
"Iqgap3",0,0.763938752977691,0.883,0.15,0,"1","Iqgap3"
"Ncapd3",0,0.754001048366365,0.939,0.429,0,"1","Ncapd3"
"H2afv",0,0.748863678003506,0.99,0.748,0,"1","H2afv"
"Tubb5",0,0.744666062557997,1,0.995,0,"1","Tubb5"
"Lockd",0,0.735815672029317,0.89,0.174,0,"1","Lockd"
"Ccnf",0,0.733600130611434,0.865,0.132,0,"1","Ccnf"
"Tubb4b",0,0.729192226155757,0.976,0.614,0,"1","Tubb4b"
"Hirip3",0,0.722930025985901,0.927,0.372,0,"1","Hirip3"
"Tacc3",0,0.720434981749583,0.94,0.332,0,"1","Tacc3"
"Tuba1b",0,0.712735446077437,1,0.964,0,"1","Tuba1b"
"Pimreg",0,0.710208954934214,0.866,0.174,0,"1","Pimreg"
"Dbf4",0,0.702267998305196,0.942,0.366,0,"1","Dbf4"
"Rangap1",0,0.701709775466733,0.961,0.489,0,"1","Rangap1"
"Cks1b",0,0.699571696915687,0.963,0.493,0,"1","Cks1b"
"Asf1b",0,0.67861760618543,0.882,0.236,0,"1","Asf1b"
"Haspin",0,0.67545781791878,0.904,0.277,0,"1","Haspin"
"Dlgap5",0,0.667745051689005,0.866,0.213,0,"1","Dlgap5"
"Brd8",0,0.658637045251471,0.973,0.618,0,"1","Brd8"
"Ccdc34",0,0.656581211005405,0.955,0.53,0,"1","Ccdc34"
"Rad21",0,0.651079724038691,0.967,0.61,0,"1","Rad21"
"Plk4",0,0.650802854425379,0.914,0.279,0,"1","Plk4"
"Ezh2",0,0.650624634402564,0.952,0.459,0,"1","Ezh2"
"Melk",0,0.649699985254343,0.83,0.144,0,"1","Melk"
"Ncapg2",0,0.649571592317092,0.851,0.241,0,"1","Ncapg2"
"Ckap2",0,0.64560138626443,0.83,0.207,0,"1","Ckap2"
"Smchd1",0,0.644213536555565,0.992,0.812,0,"1","Smchd1"
"Cbx5",0,0.641619569657063,0.981,0.626,0,"1","Cbx5"
"Rad51ap1",0,0.641560806462206,0.888,0.254,0,"1","Rad51ap1"
"Ncaph",0,0.629012585165911,0.868,0.284,0,"1","Ncaph"
"Hist1h3e",0,0.62809668981865,0.81,0.124,0,"1","Hist1h3e"
"Ankle1",0,0.627804466138059,0.779,0.088,0,"1","Ankle1"
