"","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","Peak.Score","Focus.Ratio.Region.Size","Detailed.Annotation","Gene.Name"
"1",2.11206101595536,0.999,0.343,0,1,"Hist1h1b",NA,NA,NA,NA
"2",2.0602589490311,0.999,0.377,0,1,"Hist1h2ap",NA,NA,NA,NA
"3",1.96145532345496,0.999,0.27,0,1,"Hist1h2ae",60.950001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist1h2ae"
"4",1.85718009847278,1,0.372,0,1,"Top2a",66.425003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Top2a"
"5",1.84868275700493,1,0.411,0,1,"Mki67",99.650002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mki67"
"6",1.50486429863683,1,0.791,0,1,"Hist1h1e",43.549999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist1h1e"
"7",1.42506169107302,0.998,0.208,0,1,"Prc1",60.849998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Prc1"
"8",1.42150326098125,0.997,0.294,0,1,"Cenpf",118.824997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cenpf"
"9",1.40067971198795,0.988,0.347,0,1,"Hist2h2ac",29.25,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist2h2ac"
"10",1.37218232161996,0.974,0.133,0,1,"Hist1h2ab",18.666666,"Sample5peaks.txt|Sample6peaks.txt|Sample8peaks.txt","Promoter","Hist1h2ab"
"11",1.33450440496986,0.97,0.134,0,1,"Hist1h3c",NA,NA,NA,NA
"12",1.32740310058849,0.999,0.446,0,1,"Smc4",NA,NA,NA,NA
"13",1.29370333897101,0.997,0.423,0,1,"H2afx",68.449997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","H2afx"
"14",1.26034537444859,0.997,0.486,0,1,"Smc2",NA,NA,NA,NA
"15",1.25859543592491,0.995,0.299,0,1,"Cenpe",88.425003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cenpe"
"16",1.23156337652694,0.986,0.176,0,1,"Nusap1",NA,NA,NA,NA
"17",1.21873498797703,0.995,0.271,0,1,"Kif15",NA,NA,NA,NA
"18",1.21367471618762,1,0.838,0,1,"Hmgb2",196.925003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hmgb2"
"19",1.20783353912108,0.986,0.349,0,1,"Cenpa",56.525002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cenpa"
"20",1.20627461432165,0.961,0.193,0,1,"Hmmr",88.474998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hmmr"
"21",1.20530314079245,0.984,0.35,0,1,"Ube2c",100.650002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ube2c"
"22",1.20415696182622,0.995,0.266,0,1,"Knl1",29.9,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Knl1"
"23",1.20065078545886,0.986,0.205,0,1,"Kif11",57.924999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Kif11"
"24",1.16210664346274,0.996,0.318,0,1,"Cdca8",62.625,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cdca8"
"25",1.15822524220667,0.995,0.365,0,1,"Pclaf",10.68,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Pclaf"
"26",1.15350703076653,0.999,0.557,0,1,"Hjurp",216.100006,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hjurp"
"27",1.12948621417766,0.996,0.337,0,1,"Birc5",31.725,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Birc5"
"28",1.12928707923082,0.963,0.271,0,1,"Hist1h4d",64.699997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist1h4d"
"29",1.11033146828226,0.945,0.175,0,1,"Hist1h1a",30.075001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist1h1a"
"30",1.10002020785563,0.975,0.208,0,1,"Pbk",NA,NA,NA,NA
"31",1.09623235075832,0.984,0.221,0,1,"Mis18bp1",87.699997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mis18bp1"
"32",1.09005101432943,0.994,0.467,0,1,"Cdk1",42.575001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cdk1"
"33",1.07982833921736,0.975,0.246,0,1,"Kif20b",46.525002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Kif20b"
"34",1.07897960078978,0.97,0.261,0,1,"Hist1h1d",23.950001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hist1h1d"
"35",1.07816826860182,0.99,0.258,0,1,"Tpx2",66.099998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tpx2"
"36",1.0747610205893,0.975,0.183,0,1,"Kif23",33.75,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Kif23"
"37",1.06177319728652,0.995,0.479,0,1,"Incenp",60.549999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Incenp"
"38",1.05448121322603,0.897,0.137,0,1,"Esco2",103.025002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Esco2"
"39",1.01124349848295,0.962,0.176,0,1,"Anln",24.1,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Anln"
"40",1.009818796417,1,0.732,0,1,"Tmpo",55.949997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tmpo"
"41",0.983206636842015,0.959,0.169,0,1,"Neil3",28.700001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Neil3"
"42",0.981769097005542,0.956,0.181,0,1,"Cdca2",204.449997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cdca2"
"43",0.977221230712912,0.972,0.272,0,1,"Racgap1",32.799999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Racgap1"
"44",0.961951811716358,0.933,0.179,0,1,"Aspm",50.174999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Aspm"
"45",0.959041814953333,0.961,0.311,0,1,"Cdkn2c",73.050003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cdkn2c"
"46",0.934478441552075,0.982,0.309,0,1,"Ncapd2",74.574997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ncapd2"
"47",0.930593704732357,0.947,0.191,0,1,"Kif4",NA,NA,NA,NA
"48",0.920297921450334,0.997,0.712,0,1,"Ube2s",85.275002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ube2s"
"49",0.915037954558303,0.955,0.204,0,1,"Aurkb",18.200001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Aurkb"
"50",0.914462654932209,0.961,0.277,0,1,"Cdca3",63.375,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cdca3"
"51",0.912438920890045,0.957,0.226,0,1,"Ccna2",NA,NA,NA,NA
"52",0.906968700894094,0.973,0.307,0,1,"Spc24",44.474998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Spc24"
"53",0.90600662182404,0.937,0.186,0,1,"Ncapg",NA,NA,NA,NA
"54",0.895887539308907,1,0.983,0,1,"H2afz",123.574997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","H2afz"
