id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,3:03,3:04,3:05,3:08,4:03,4:04,4:05,4:08,5:03,5:04,5:05,5:08,8:03,8:04,8:05,8:08
CPI-SS0D41C7AF5,EPHB1_EFNB3,simple:P54762,simple:Q15768,ENSG00000154928,ENSG00000108947,FALSE,TRUE,TRUE,curated,FALSE,0.062,0.064,,,,,,,,,,,,,,,
CPI-SS03B8E2D7A,TNF_ICOS,simple:P01375,simple:Q9Y6W8,ENSG00000232810,ENSG00000163600,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.25,0.066,0.077,0.066,0.067,,,,,,,,,,,,
CPI-SS03821C2C6,PF4_ACKR1,simple:P02776,simple:Q16570,ENSG00000163737,ENSG00000213088,TRUE,FALSE,TRUE,"I2D,InnateDB",FALSE,0.188,0.068,,,,0.058,,,,,,,,0.093,,,
CPI-SS0DA366C78,EPHB2_EFNB3,simple:P29323,simple:Q15768,ENSG00000133216,ENSG00000108947,FALSE,TRUE,TRUE,curated,FALSE,0.062,0.074,,,,,,,,,,,,,,,
CPI-SC00756BB93,THY1_aVb3 complex,simple:P04216,complex:aVb3 complex,ENSG00000154096,,FALSE,FALSE,FALSE,curated,TRUE,0.25,0.077,0.095,0.081,0.064,,,,,,,,,,,,
CPI-SS0470AF83E,EPHB1_EFNB1,simple:P54762,simple:P98172,ENSG00000154928,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.079,0.058,0.078,0.07,,,,,,,,,,,,
CPI-SS02371A6D6,VEGFA_EPHB2,simple:P15692,simple:P29323,ENSG00000112715,ENSG00000133216,TRUE,FALSE,TRUE,I2D,FALSE,0.062,0.08,,,,,,,,,,,,,,,
CPI-SS0DBFB8BEA,CCL2_ACKR1,simple:P13500,simple:Q16570,ENSG00000108691,ENSG00000213088,TRUE,FALSE,TRUE,curated,FALSE,0.188,0.085,,,,,,,,0.085,,,,0.214,,,
CPI-SC0B9199C7F,LAMC1_aVb3 complex,simple:P11047,complex:aVb3 complex,ENSG00000135862,,TRUE,FALSE,FALSE,curated,TRUE,0.375,0.086,0.104,0.09,,,0.102,,,,0.1,,,,0.104,,
CPI-SS0F1A060D4,PVR_NECTIN3,simple:P15151,simple:Q9NQS3,ENSG00000073008,ENSG00000177707,TRUE,TRUE,FALSE,curated,FALSE,0.25,0.086,,,,0.081,,,,0.091,,,,0.093,,,
CPI-SS0111AAD26,EPHB2_EFNB1,simple:P29323,simple:P98172,ENSG00000133216,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.089,0.069,0.088,0.08,,,,,,,,,,,,
CPI-SS0A9E884E0,CD200_CD200R1,simple:P41217,simple:Q8TD46,ENSG00000091972,ENSG00000163606,TRUE,FALSE,TRUE,curated,FALSE,0.25,0.09,0.124,0.099,0.083,,,,,,,,,,,,
CPI-SS07DFEBFA8,GPR19_ENHO,simple:Q15760,simple:Q6UWT2,ENSG00000183150,ENSG00000168913,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.312,0.091,,0.075,,,,,,,,,,0.091,0.07,0.074,
CPI-SS00550260E,CADM3_NECTIN3,simple:Q8N126,simple:Q9NQS3,ENSG00000162706,ENSG00000177707,FALSE,FALSE,FALSE,curated,FALSE,0.062,0.113,,,,,,,,,,,,,,,
CPI-SS02EBC1BB0,TNF_NOTCH1,simple:P01375,simple:P46531,ENSG00000232810,ENSG00000148400,TRUE,FALSE,TRUE,I2D,FALSE,0.125,0.124,,0.129,,,,,,,,,,,,,
CPI-SS044C72D0D,SEMA4A_PLXND1,simple:Q9H3S1,simple:Q9Y4D7,ENSG00000196189,ENSG00000004399,FALSE,FALSE,TRUE,curated,FALSE,0.312,0.131,0.078,,,0.131,,,,0.123,,,,0.123,,,
CPI-SS08718E4FB,EPHB6_EFNB3,simple:O15197,simple:Q15768,ENSG00000106123,ENSG00000108947,TRUE,TRUE,TRUE,curated,FALSE,0.062,0.132,,,,,,,,,,,,,,,
CPI-SS034B442CE,TNF_CELSR2,simple:P01375,simple:Q9HCU4,ENSG00000232810,ENSG00000143126,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.062,0.133,,,,,,,,,,,,,,,
CPI-SS07CA5A6F1,EPHA4_EFNB3,simple:P54764,simple:Q15768,ENSG00000116106,ENSG00000108947,FALSE,TRUE,TRUE,curated,FALSE,0.125,0.133,,,,,,,,,,,,0.063,,,
CPI-SS02D18D12B,CADM3_CADM4,simple:Q8N126,simple:Q8NFZ8,ENSG00000162706,ENSG00000105767,FALSE,FALSE,FALSE,curated,FALSE,0.062,0.136,,,,,,,,,,,,,,,
CPI-SS0DC4D593E,EPHB6_EFNB1,simple:O15197,simple:P98172,ENSG00000106123,ENSG00000090776,TRUE,TRUE,FALSE,curated,FALSE,0.25,0.147,0.126,0.146,0.137,,,,,,,,,,,,
CPI-SS00046DCF3,EPHA4_EFNB1,simple:P54764,simple:P98172,ENSG00000116106,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,0.438,0.148,0.127,0.147,0.138,,,,,,,,,0.078,,0.077,0.069
CPI-CS0123BC66C,PlexinA1_complex2_SEMA6D,complex:PlexinA1_complex2,simple:Q8NFY4,,ENSG00000137872,FALSE,TRUE,FALSE,curated,FALSE,0.125,0.15,,,0.107,,,,,,,,,,,,
CPI-SS0F8EFEECF,TNF_DAG1,simple:P01375,simple:Q14118,ENSG00000232810,ENSG00000173402,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.125,0.167,,0.164,,,,,,,,,,,,,
CPI-SS0B3829651,CADM3_EPB41L1,simple:Q8N126,simple:Q9H4G0,ENSG00000162706,ENSG00000088367,FALSE,FALSE,FALSE,curated,FALSE,0.125,0.167,,,0.095,,,,,,,,,,,,
CPI-SS02FBD007E,NECTIN2_NECTIN3,simple:Q92692,simple:Q9NQS3,ENSG00000130202,ENSG00000177707,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.169,,,,0.205,,,,0.187,,,,0.164,,,
