id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	microglia_1|microglia_1	microglia_1|microglia_2	microglia_1|microglia_3	microglia_1|microglia_4	microglia_1|microglia_5	microglia_1|microglia_6	microglia_1|microglia_8	microglia_1|microglia_9	microglia_1|oligos_7	microglia_1|opcs_2	microglia_1|opcs_9	microglia_2|microglia_1	microglia_2|microglia_2	microglia_2|microglia_3	microglia_2|microglia_4	microglia_2|microglia_5	microglia_2|microglia_6	microglia_2|microglia_8	microglia_2|microglia_9	microglia_2|oligos_7	microglia_2|opcs_2	microglia_2|opcs_9	microglia_3|microglia_1	microglia_3|microglia_2	microglia_3|microglia_3	microglia_3|microglia_4	microglia_3|microglia_5	microglia_3|microglia_6	microglia_3|microglia_8	microglia_3|microglia_9	microglia_3|oligos_7	microglia_3|opcs_2	microglia_3|opcs_9	microglia_4|microglia_1	microglia_4|microglia_2	microglia_4|microglia_3	microglia_4|microglia_4	microglia_4|microglia_5	microglia_4|microglia_6	microglia_4|microglia_8	microglia_4|microglia_9	microglia_4|oligos_7	microglia_4|opcs_2	microglia_4|opcs_9	microglia_5|microglia_1	microglia_5|microglia_2	microglia_5|microglia_3	microglia_5|microglia_4	microglia_5|microglia_5	microglia_5|microglia_6	microglia_5|microglia_8	microglia_5|microglia_9	microglia_5|oligos_7	microglia_5|opcs_2	microglia_5|opcs_9	microglia_6|microglia_1	microglia_6|microglia_2	microglia_6|microglia_3	microglia_6|microglia_4	microglia_6|microglia_5	microglia_6|microglia_6	microglia_6|microglia_8	microglia_6|microglia_9	microglia_6|oligos_7	microglia_6|opcs_2	microglia_6|opcs_9	microglia_8|microglia_1	microglia_8|microglia_2	microglia_8|microglia_3	microglia_8|microglia_4	microglia_8|microglia_5	microglia_8|microglia_6	microglia_8|microglia_8	microglia_8|microglia_9	microglia_8|oligos_7	microglia_8|opcs_2	microglia_8|opcs_9	microglia_9|microglia_1	microglia_9|microglia_2	microglia_9|microglia_3	microglia_9|microglia_4	microglia_9|microglia_5	microglia_9|microglia_6	microglia_9|microglia_8	microglia_9|microglia_9	microglia_9|oligos_7	microglia_9|opcs_2	microglia_9|opcs_9	oligos_7|microglia_1	oligos_7|microglia_2	oligos_7|microglia_3	oligos_7|microglia_4	oligos_7|microglia_5	oligos_7|microglia_6	oligos_7|microglia_8	oligos_7|microglia_9	oligos_7|oligos_7	oligos_7|opcs_2	oligos_7|opcs_9	opcs_2|microglia_1	opcs_2|microglia_2	opcs_2|microglia_3	opcs_2|microglia_4	opcs_2|microglia_5	opcs_2|microglia_6	opcs_2|microglia_8	opcs_2|microglia_9	opcs_2|oligos_7	opcs_2|opcs_2	opcs_2|opcs_9	opcs_9|microglia_1	opcs_9|microglia_2	opcs_9|microglia_3	opcs_9|microglia_4	opcs_9|microglia_5	opcs_9|microglia_6	opcs_9|microglia_8	opcs_9|microglia_9	opcs_9|oligos_7	opcs_9|opcs_2	opcs_9|opcs_9
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	ENSG00000140285	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.008																																																																																																	0.228																								
CPI-SS0CC898553	FGFR2_PTPRR	simple:P21802	simple:Q15256	ENSG00000066468	ENSG00000153233	True	True	True	InnateDB-All	False	0.008																																																																																																			0.216																						
CPI-SS0097929A7	BMP7_SLAMF1	simple:P18075	simple:Q13291	ENSG00000101144	ENSG00000117090	True	False	True	InnateDB-All	False	0.017																																																																																																							0.273											0.375							
CPI-SS07EC65CED	CCL7_ACKR1	simple:P80098	simple:Q16570	ENSG00000108688	ENSG00000213088	True	False	True	I2D	False	0.017																																																																																1.498						1.498																																			
CPI-SS03821C2C6	PF4_ACKR1	simple:P02776	simple:Q16570	ENSG00000163737	ENSG00000213088	True	False	True	I2D,InnateDB	False	0.017																																																																																38.946						38.946																																			
CPI-SS053613259	NRG2_ERBB3	simple:O14511	simple:P21860	ENSG00000158458	ENSG00000065361	True	False	True	curated	False	0.017																														0.18																																																							0.148																																				
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	ENSG00000026508	ENSG00000066468	True	True	True	InnateDB-All	False	0.017									0.228																																																																													0.276																																			
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	ENSG00000118785	ENSG00000026508	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.017																																		41.566							41.615																																																																																
CPI-SS02371A6D6	VEGFA_EPHB2	simple:P15692	simple:P29323	ENSG00000112715	ENSG00000133216	True	False	True	I2D	False	0.017																									0.157																																																																		0.147																														
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	ENSG00000185737	ENSG00000178568	True	False	True	curated	False	0.025																															0.197	0.14	0.211																																																																																								
CPI-SS07833475A	FGFR1_FGF7	simple:P11362	simple:P21781	ENSG00000077782	ENSG00000140285	True	True	False	I2D	False	0.025																																																																																						0.274																						0.16											0.205		
CPI-SS0D00AAD2F	SEMA5A_PLXNB3	simple:Q13591	simple:Q9ULL4	ENSG00000112902	ENSG00000198753	False	False	True	curated	False	0.025																																																																																																	1.342											0.759											0.859		
CPI-SS0AB647854	GPR37_PSAP	simple:O15354	simple:P07602	ENSG00000170775	ENSG00000197746	True	True	False	guidetopharmacology.org	False	0.025																																																																																												15.922	9.413		9.846																										
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	ENSG00000077782	ENSG00000066468	True	True	True	InnateDB-All	False	0.025																																																																																						0.362																						0.248											0.293		
CPI-SS08CA619FE	EGFR_GRN	simple:P00533	simple:P28799	ENSG00000146648	ENSG00000030582	True	True	False	InnateDB-All	False	0.025																																																																																	17.533			11.936	12.896																																				
CPI-SS00EDDD458	EGFR_MIF	simple:P00533	simple:P14174	ENSG00000146648	ENSG00000240972	True	True	False	IMEx,InnateDB-All	False	0.025																																																																															2.23		5.035					2.12																																			
